"query","clicks","impressions","ctr","position"
"nda exam date 2026","1543","105587","1.5%","3.6"
"warrior defence academy","312","2751","11.3%","2.1"
"warriors defence academy","229","2539","9%","2.0"
"indian army badges","120","927","12.9%","3.3"
"warrior defence academy lucknow","94","1159","8.1%","2.1"
"ssb oir previous question papers","76","172","44.2%","1.5"
"oir in ssb","67","530","12.6%","2.7"
"badges of indian army","55","279","19.7%","2.7"
"all badges of indian army","54","155","34.8%","1.9"
"lecturette topics for ssb with answers","54","149","36.2%","2.2"
"agniveer recruitment 2026","51","13159","0.4%","9.5"
"how many fighter jets does india have","51","7097","0.7%","5.0"
"warriors defence academy lucknow","50","700","7.1%","2.1"
"oir questions for ssb","46","136","33.8%","1.8"
"wda academy lucknow","42","552","7.6%","1.9"
"oir questions","41","149","27.5%","1.8"
"indian air force aircraft list","38","967","3.9%","6.4"
"officer intelligence rating test","38","250","15.2%","2.7"
"oir test questions","35","85","41.2%","1.3"
"oir sample paper","34","118","28.8%","2.4"
"ssb reasoning questions","34","104","32.7%","2.6"
"indian air force fighter planes list","30","4012","0.7%","6.2"
"nda 2026 exam date","30","3924","0.8%","3.1"
"wda academy","28","347","8.1%","2.5"
"ssb lecturette topics with answers pdf","28","98","28.6%","3.0"
"oir test in ssb","26","625","4.2%","7.7"
"ssb oir questions","26","68","38.2%","2.6"
"ssb lecturette topics with answers","26","43","60.5%","1.2"
"indian army badges and medals","25","272","9.2%","3.4"
"best nda coaching in lucknow","24","1883","1.3%","3.4"
"warriors defence academy fees","24","601","4%","2.1"
"indian air force planes list","24","459","5.2%","4.9"
"nda coaching in lucknow","23","2017","1.1%","4.8"
"indian air force jets list","23","365","6.3%","4.6"
"oir test pdf","23","153","15%","3.8"
"officer intelligence rating test pdf with solutions","23","36","63.9%","1.0"
"ima dehradun","22","7977","0.3%","11.1"
"badges in indian army","22","82","26.8%","2.6"
"indian air force fighter jets list","21","674","3.1%","6.5"
"nda 2 2023 merit list","21","126","16.7%","4.8"
"ssb verbal and non verbal questions","21","61","34.4%","2.0"
"indian army all badges","21","54","38.9%","1.1"
"agniveer vacancy 2026","19","7341","0.3%","10.3"
"nda syllabus in hindi pdf download","19","722","2.6%","6.6"
"indian army badges list","19","240","7.9%","2.0"
"oir question for ssb","19","36","52.8%","1.6"
"nda oir questions","19","29","65.5%","1.1"
"army badges","18","899","2%","3.0"
"wda lucknow","18","222","8.1%","3.0"
"officer intelligence rating (oir) test","18","86","20.9%","2.6"
"what is tes","16","1043","1.5%","2.5"
"warrior defence academy lucknow fees","16","150","10.7%","1.4"
"different badges in indian army","16","58","27.6%","4.6"
"agniveer recruitment","15","2077","0.7%","7.5"
"indian aircraft list","15","1024","1.5%","4.1"
"warrior academy lucknow","15","222","6.8%","1.9"
"warrior defence academy mohanlalganj lucknow","15","149","10.1%","2.0"
"oir practice set with answers","15","128","11.7%","5.6"
"oir pdf","14","123","11.4%","6.4"
"oir question paper","14","27","51.9%","1.5"
"agniveer notification 2026","13","2626","0.5%","9.8"
"nda syllabus in hindi","13","1599","0.8%","5.7"
"indian army drone name list","13","345","3.8%","2.3"
"ssb screening test questions","13","50","26%","4.4"
"nda khadakwasla","12","12622","0.1%","5.6"
